ערבי,ערבי
קרובים,קרוב
סמוך,סמוך
גדולים,גדול
נרחבות,נרחב
אדומה,אדום
ישראליות,ישראלי
ערביות,ערבי
קיים,קיים
יהודים,יהודי
בכירים,בכיר
ערבים,ערבי
אחר,אחר
פלשתיניים,פלסטיני
קל,קל
קשות,קשה
קשה,קשה
חיים,חי
רבים,רב
צבאיים,צבאי
מרכזיים,מרכזי
צבאי,צבאי
בכיר,בכיר
ספונטאנית,ספונטני
מרכזי,מרכזי
עצור,עצור
צפוניות,צפוני
בינוני,בינוני
נשוי,נשוי
תלוי,תלוי
כללית,כללי
מערבית,מערבי
מונע,מונע
אלימים,אלים
מקומיים,מקומי
מקומי,מקומי
ישראלי,ישראלי
מפתיע,מפתיע
מוקדמות,מוקדם
אחרונים,אחרון
אלימות,אלים
מדמיע,מדמיע
לבן,לבן
שגרתי,שגרתי
כחולה,כחול
אחרון,אחרון
חיה,חי
מרוחק,מרוחק
ממשלתי,ממשלתי
נוספים,נוסף
מקומית,מקומי
אחרים,אחר
צבאית,צבאי
ראשוני,ראשוני
מקיף,מקיף
מוכשר,מוכשר
סימפטומטי,סימפטומטי
מאלף,מאלף
אינטלקטואלית,אינטלקטואלי
מפתה,מפתה
מנוכרת,מנוכר
נכון,נכון
לאומיים,לאומי
לאומי,לאומי
פוליטית,פוליטי
תרבותי,תרבותי
אמוציונלי,אמוציונאלי
פוליטי,פוליטי
זר,זר
מחודד,מחודד
אמוציונלית,אמוציונאלי
סוציולוגיים,סוציולוגיים
שונים,שונה
חילוניים,חילוני
רחוק,רחוק
מאוס,מאוס
משותפת,משותף
משותפים,משותף
מסוכן,מסוכן
מגונה,מגונה
פונקציונלית,פונקציונלי
מיותרת,מיותר
מסוכנת,מסוכן
לאומני,לאומני
ארוכה,ארוך
צפופה,צפוף
לשוני,לשוני
שכיח,שכיח
ישראלית,ישראלי
מקורית,מקורי
שונה,שונה
הפוכה,הפוך
פופולרי,פופולרי
נאצית,נאצי
רדוד,רדוד
אמנותי,אמנותי
איומה,איום
ציני,ציני
נוכחית,נוכחי
דומה,דומה
צינית,ציני
פתוח,פתוח
כוללני,כוללני
ברור,ברור
סמלית,סמלי
קולקטיווי,קולקטיבי
מוסרי,מוסרי
אוניוורסלי,אוניברסלי
לאומית,לאומי
יבש,יבש
מנוכר,מנוכר
רלוונטי,רלוונטי
טקסי,טקסי
חיצוני,חיצוני
טקסית,טקסי
נורא,נורא
חיצונית,חיצוני
דתי,דתי
אישית,אישי
באה,בא
ביזארית,ביזארי
מובהק,מובהק
טבעית,טבעי
ימניים,ימני
בולטים,בולט
רחוקים,רחוק
ימניות,ימני
טבעיות,טבעי
נורמליות,נורמלי
קיימת,קיים
בריאה,בריא
חריגה,חריג
מעוותת,מעוות
קשורים,קשור
חשוד,חשוד
ימנית,ימני
אפשרית,אפשרי
אופטית,אופטי
נפוצה,נפוץ
מודע,מודע
טבעי,טבעי
היסטוריים,היסטורי
יהודיים,יהודי
מותר,מותר
דתיים,דתי
מסוימים,מסוים
אחראים,אחראי
נוראה,נורא
פוליטיים,פוליטי
נפרד,נפרד
יהודית,יהודי
חזק,חזק
שליליות,שלילי
בסיסית,בסיסי
קיצוני,קיצוני
חריגות,חריג
מרה,מר
שלילי,שלילי
דבקית,דבקי
עוינת,עוין
טבעיים,טבעי
סטריאוטיפית,סטריאוטיפי
דמוקרטי,דמוקרטי
חוקיות,חוקי
מיליטנטי,מיליטנטי
פרופורציונלית,פרופורציונלי
ציוני,ציוני
טוב,טוב
עדין,עדין
מורכב,מורכב
פרטי,פרטי
בר,בר
קיצונית,קיצוני
עוין,עוין
אחרונות,אחרון
מובן,מובן
מחריד,מחריד
קיצוניות,קיצוני
אחרות,אחר
פסיכולוגי,פסיכולוגי
נפלאים,נפלא
הדרגתי,הדרגתי
ממושך,ממושך
חינוכי,חינוכי
בסיסי,בסיסי
חשוב,חשוב
גדושה,גדוש
מבוטלים,מבוטל
מאורגן,מאורגן
אדיר,אדיר
מוגזם,מוגזם
שייכת,שייך
חדש,חדש
יהודי,יהודי
פלשתיני,פלסטיני
יחידים,יחיד
מוגבלת,מוגבל
רשמית,רשמי
מאורגנים,מאורגן
שייכים,שייך
נסערים,נסער
ממוסדת,ממוסד
עילאי,עילאי
פטריוט,פטריוט
גדול,גדול
צפויים,צפוי
ראוי,ראוי
פוליטיות,פוליטי
ציבורית,ציבורי
מרכזית,מרכזי
מדיני,מדיני
נצי,ניצי
מתון,מתון
שלמה,שלם
נחוץ,נחוץ
צרה,צר
מורכבות,מורכב
פונקציונליים,פונקציונלי
קונפדרטיוויים,קונפדרטיבי
פלשתינית,פלסטיני
שרירותית,שרירותי
חלופיות,חלופי
תקיף,תקיף
עצמית,עצמי
נצית,ניצי
יונית,יוני
שמאלית,שמאלי
רבות,רב
ימני,ימני
החלטי,החלטי
שמאלי,שמאלי
מתוחכם,מתוחכם
חלקי,חלקי
מעטים,מעט
חד,חד
דומים,דומה
נאיווית,נאיבי
שפוי,שפוי
יחיד,יחיד
ריאלית,ריאלי
עצובה,עצוב
מתסכלת,מתסכל
חסר,חסר
רב,רב
יהודיות,יהודי
מוסלמים,מוסלמי
מעורבת,מעורב
מיוחד,מיוחד
גבוהה,גבוה
חסרים,חסר
סבלני,סבלני
אנגלי,אנגלי
פרוטסטנטים,פרוטסטנטי
משוחררת,משוחרר
קנאים,קנאי
חסרות,חסר
קולוניאליסטיות,קולוניאליסטי
תקיפה,תקיף
טריטוריאליים,טריטוריאלי
כמוסים,כמוס
ספרדית,ספרדי
נוספות,נוסף
עתיקים,עתיק
מחודשת,מחודש
אתניים,אתני
אחרת,אחר
מרים,מר
יוגוסלווית,יוגוסלבי
מלאכותית,מלאכותי
יריבות,יריב
מדיניים,מדיני
פשוטה,פשוט
לגיטימיות,לגיטימי
מוכרות,מוכר
מכובדת,מכובד
נאמן,נאמן
ציונית,ציוני
רע,רע
כהניסטי,כהניסטי
אמריקאית,אמריקני
גזעני,גזעני
פורנוגרפי,פורנוגרפי
פנסיונר,פנסיונר
אמריקאי,אמריקני
ירושלמית,ירושלמי
נלעג,נלעג
צבעוני,צבעוני
דמוקרטית,דמוקרטי
מסוימת,מסוים
רצינית,רציני
פנימי,פנימי
ציבוריים,ציבורי
לגיטימי,לגיטימי
נקי,נקי
חילוני,חילוני
פורנוגרפיים,פורנוגרפי
מוצנעים,מוצנע
מת,מת
חדשה,חדש
מיוחלת,מיוחל
מיידית,מיידי
ענקי,ענקי
נסבל,נסבל
הומניטרית,הומניטרי
רעיונית,רעיוני
נוכחי,נוכחי
נחמד,נחמד
גרוע,גרוע
תיכון,תיכון
עצוב,עצוב
נאצי,נאצי
רעילים,רעיל
מסוים,מסוים
קהילתי,קהילתי
סגור,סגור
אחדים,אחדים
המוניים,המוני
מוזרה,מוזר
קטן,קטן
פולני,פולני
מעורבים,מעורב
נפשי,נפשי
צרפתי,צרפתי
עמוקה,עמוק
ישן,ישן
ציורית,ציורי
דקיק,דקיק
דוקרני,דוקרני
מוחלט,מוחלט
צהבהב,צהבהב
יהודייה,יהודי
יתומה,יתום
אחדות,אחדים
חלקית,חלקי
מסורתי,מסורתי
מרובים,מרובה
מר,מר
מיוחל,מיוחל
שמאלני,שמאלני
מרובי,מרובה
עצובים,עצוב
ארוכים,ארוך
קצר,קצר
מגובשת,מגובש
אישי,אישי
גדולה,גדול
שמח,שמח
הומניסטי,הומניסטי
פתוחה,פתוח
ביקורתית,ביקורתי
קונסרווטיווי,קונסרבטיבי
עזה,עז
חרדים,חרד
מיוחדים,מיוחד
ציוניים,ציוני
שגרתית,שגרתי
מודרניים,מודרני
כואבת,כואב
רבה,רב
חרדי,חרדי
מוצהר,מוצהר
מודגש,מודגש
רציונליסטים,רציונליסטי
מיידי,מיידי
אמתניים,אימתני
צעירות,צעיר
בודדות,בודד
קצרות,קצר
עז,עז
ריק,ריק
ריקה,ריק
מלא,מלא
אפל,אפל
גרמניות,גרמני
יידישאי,יידישאי
רגשיים,רגשי
עיקרי,עיקרי
נצחי,נצחי
מיותר,מיותר
עליזים,עליז
אינטלקטואלי,אינטלקטואלי
קיימות,קיים
נמרצים,נמרץ
סביר,סביר
כהניסטיות,כהניסטי
סבירה,סביר
הגיונית,הגיוני
מבוגר,מבוגר
מקובל,מקובל
קולקטיווית,קולקטיבי
קולקטיוויות,קולקטיבי
ארגונית,ארגוני
רציני,רציני
קודמות,קודם
רעיוני,רעיוני
מטורפות,מטורף
שווים,שווה
מנהלי,מנהלי
משפטיים,משפטי
מינהלי,מנהלי
"זצ""ל","זצ""ל"
מסוימות,מסוים
קטנה,קטן
יחידה,יחיד
פסימית,פסימי
מפורסמים,מפורסם
עצומה,עצום
ירושלמי,ירושלמי
מקרית,מקרי
רחבי,רחב
אמיתי,אמיתי
מקורי,מקורי
ערביים,ערבי
קיצוניים,קיצוני
טובה,טוב
לאומנית,לאומני
ערבית,ערבי
מכוער,מכוער
מוכרת,מוכר
מוסלמי,מוסלמי
חמושים,חמוש
נוכחיות,נוכחי
עצום,עצום
מהיר,מהיר
רשמיות,רשמי
ישירה,ישיר
חריפה,חריף
בעייתי,בעייתי
בריטית,בריטי
מרירות,מריר
מבוקשים,מבוקש
נשית,נשי
קלסית,קלאסי
צעיר,צעיר
חסרי,חסר
שווייצרי,שווייצרי
יאה,יאה
נאה,נאה
מופלגת,מופלג
הרסנית,הרסני
מפוקפק,מפוקפק
פעילים,פעיל
נמהר,נמהר
אורווליאני,אורווליאני
יפה,יפה
נורווגית,נורבגי
בטוח,בטוח
צנועים,צנוע
מרוצים,מרוצה
תמים,תמים
שוודי,שוודי
אהוד,אהוד
משותף,משותף
אמריקאיים,אמריקני
שירית,שירי
ספרותי,ספרותי
שנון,שנון
זקנים,זקן
עולמי,עולמי
לונדוני,לונדוני
רוסי,רוסי
מיוחדת,מיוחד
מנוסים,מנוסה
מחוכמים,מחוכם
ארגנטינאי,ארגנטינאי
סקנדינווית,סקנדינבי
עתיקת,עתיק
עולמית,עולמי
מקסיקאי,מקסיקני
מקסים,מקסים
מדרידי,מדרידי
חגיגי,חגיגי
היספאני,היספאני
סקנדינווים,סקנדינווים
עלומים,עלום
קודמים,קודם
נמהרות,נמהר
מלאכותי,מלאכותי
מטעה,מטעה
פוגע,פוגע
מקובלת,מקובל
צמאים,צמא
טריטוריאלי,טריטוריאלי
גמורה,גמור
ספרותיים,ספרותי
אנגלית,אנגלי
אקזוטית,אקזוטי
בריטי,בריטי
יוקרתי,יוקרתי
ספקן,ספקן
סקנדינווי,סקנדינבי
פינתי,פינתי
פולנית,פולני
יומי,יומי
אמיד,אמיד
שבועי,שבועי
אוהדת,אוהד
אביבי,אביבי
חמקמקה,חמקמק
אביביות,אביבי
זולים,זול
לח,לח
קטנים,קטן
גרוטסקי,גרוטסקי
פולנים,פולני
רגילות,רגיל
אמריקאיות,אמריקני
עשירות,עשיר
מתוסכל,מתוסכל
אקזיסטנציאליסטי,אקזיסטנציאליסטי
קומוניסטי,קומוניסטי
אנושית,אנושי
רגילה,רגיל
ביוגרפיים,ביוגראפי
עזים,עז
אמצעי,אמצעי
עתידים,עתיד
מוקדמת,מוקדם
ספרותיות,ספרותי
מגוונות,מגוון
ספרותית,ספרותי
מדוברת,מדובר
סטודנטיאלי,סטודנטיאלי
מגוון,מגוון
קצרים,קצר
רבת,רב
סטליניסטית,סטליניסטית
קומוניסטית,קומוניסטי
מערביים,מערבי
נדיבים,נדיב
צעירים,צעיר
ריאליסטית,ריאליסטי
קולנועית,קולנועי
דומיננטי,דומיננטי
סוציאליסטי,סוציאליסטי
אנושי,אנושי
מרדני,מרדני
קונפורמיסטי,קונפורמיסטי
חדה,חד
קומוניסטים,קומוניסטי
קתולית,קתולי
ניהיליסטי,ניהיליסטי
רשמי,רשמי
שנוא,שנוא
שונות,שונה
רוחנית,רוחני
נוסף,נוסף
טובים,טוב
חדשים,חדש
אנטישמי,אנטישמי
תוססת,תוסס
תרבותית,תרבותי
רוחני,רוחני
שאולה,שאול
יפות,יפה
גברי,גברי
גבוה,גבוה
פרוע,פרוע
אידיאליסטים,אידיאליסטי
ראשי,ראשי
משפיל,משפיל
כספי,כספי
פורמליים,פורמאלי
גדולות,גדול
פיסי,פיסי
גרמנית,גרמני
דרמטי,דרמטי
גרמני,גרמני
קתולי,קתולי
צפויה,צפוי
פופולריים,פופולרי
מעולה,מעולה
צפוי,צפוי
מוכר,מוכר
שחוק,שחוק
ייחודי,ייחודי
מפותח,מפותח
עכשווית,עכשווי
מפתיעה,מפתיע
תורן,תורן
אינפלציוני,אינפלציוני
מדוברים,מדובר
וויזואליים,וויזואלי
טלוויזיוני,טלוויזיוני
מוכשרים,מוכשר
הומוריסטיים,הומוריסטי
וולגארי,וולגארי
מוכרים,מוכר
אהובים,אהוב
ניכר,ניכר
רומנייה,רומני
הרה,הרה
אמנותיות,אמנותי
בידוריות,בידורי
מוגבל,מוגבל
שקופים,שקוף
שקוף,שקוף
מלאים,מלא
אופנתי,אופנתי
רענן,רענן
עייף,עייף
דהוי,דהוי
כפולה,כפול
מכופלת,מכופל
נדיבה,נדיב
מצליח,מצליח
שקופה,שקוף
משעממת,משעמם
פולנייה,פולני
עסיסית,עסיסי
עיתונאיים,עיתונאי
מחודדים,מחודד
מגושמת,מגושם
מחוספסת,מחוספס
משולל,משולל
טלוויזיונית,טלוויזיוני
גבולית,גבולי
סמוכה,סמוך
אשם,אשם
אלרגי,אלרגי
ענייני,ענייני
אלרגית,אלרגי
צרפתים,צרפתי
נדושים,נדוש
צרפתית,צרפתי
אינטימית,אינטימי
זולה,זול
אחרונה,אחרון
נפשיות,נפשי
פיסיות,פיסי
אישיים,אישי
אינטימיים,אינטימי
פסיכולוגיסטי,פסיכולוגיסטי
אמיצה,אמיץ
נסבלים,נסבל
מעניינים,מעניין
מצוין,מצוין
זקן,זקן
חולה,חולה
שחוחה,שחוח
נפלא,נפלא
תמימה,תמים
יפהפייה,יפיפה
פסטורלי,פסטורלי
ירוק,ירוק
אמנותית,אמנותי
עקרים,עקר
מוצלחים,מוצלח
קרובה,קרוב
עיקרית,עיקרי
אולימפיים,אולימפי
גבוהות,גבוה
בטוחה,בטוח
רגילים,רגיל
"תנ""כית",תנכי
אלוהית,אלוהי
חזקה,חזק
