איתר,איתר
חבטו,חבט
חשו,חש
הגישו,הגיש
התקרב,התקרב
נסגרו,נסגר
היכו,הכה
אחזו,אחז
התחיל,התחיל
לנסוע,נסע
איבד,איבד
מעד,מעד
נחת,נחת
חסם,חסם
נרגם,נרגם
אחז,אחז
ביקש,ביקש
לפגוע,פגע
נשמעו,נשמע
נלך,הלך
לשחרר,שחרר
להוציא,הוציא
הורדה,הורד
קוראים,קרא
עונה,ענה
תם,תם
מתחיל,התחיל
תהיה,היה
נמצאים,נמצא
אמרו,אמר
ניסה,ניסה
להסתיר,הסתיר
הסיתו,הסית
רקמו,רקם
מוסיף,הוסיף
נפגע,נפגע
פתחו,פתח
הוצבו,הוצב
סיפרו,סיפר
הבחינו,הבחין
נושאת,נשא
נראתה,נראה
נמלטת,נמלט
משמש,שימש
אמר,אמר
נורו,נורה
הזהירה,הזהיר
ינסו,ניסה
מתגוררים,התגורר
התבקשו,התבקש
לדווח,דיווח
נהרג,נהרג
נרצח,נרצח
נדקר,נדקר
נפצעו,נפצע
היו,היה
הועברו,הועבר
חולים,חלה
סירב,סירב
לפרט,פירט
שוחררו,שוחרר
הוטל,הוטל
יימשך,נמשך
הופתע,הופתע
החלו,החל
נודע,נודע
היה,היה
הופץ,הופץ
קרא,קרא
דיווחו,דיווח
תקפו,תקף
ניפצו,ניפץ
פצעו,פצע
נמסר,נמסר
התפשטו,התפשט
הושלכו,הושלך
התנפצו,התנפץ
נחשד,נחשד
נשרפה,נשרף
דקרו,דקר
דוווח,דוווח
נפצע,נפצע
הועבר,הועבר
חוקרים,חקר
נמצא,נמצא
מסרו,מסר
השתמש,השתמש
הגיע,הגיע
קבע,קבע
התקיימה,התקיים
הסיר,הסיר
הושמו,הושם
טענו,טען
הוכו,הוכה
סמוך,סמך
אושפז,אושפז
הושלך,הושלך
התנפץ,התנפץ
להתלקח,התלקח
לגרום,גרם
נפצעה,נפצע
טופלה,טופל
ערך,ערך
שמע,שמע
נמשכות,נמשך
הודיע,הודיע
הגיעו,הגיע
ביקר,ביקר
